iter	Passed	Remaining
737	17214	6111
738	17229	6085
739	17244	6058
740	17257	6031
741	17270	6005
742	17285	5979
743	17300	5952
744	17314	5926
745	17330	5900
746	17348	5875
747	17363	5849
748	17377	5823
749	17393	5797
750	17407	5771
751	17421	5745
752	17434	5718
753	17450	5693
754	17465	5667
755	17479	5641
756	17498	5617
757	17512	5591
758	17527	5565
759	17543	5540
760	17559	5514
761	17575	5489
762	17590	5463
763	17605	5438
764	17623	5413
765	17642	5389
766	17658	5364
767	17673	5338
768	17688	5313
769	17700	5287
770	17715	5261
771	17731	5236
772	17746	5211
773	17765	5187
774	17781	5162
775	17796	5137
776	17811	5111
777	17826	5086
778	17840	5061
779	17854	5035
780	17868	5010
781	17881	4984
782	17897	4960
783	17911	4934
784	17926	4909
785	17941	4884
786	17959	4860
787	17977	4836
788	18000	4813
789	18019	4789
790	18033	4764
791	18047	4739
792	18061	4714
793	18076	4689
794	18091	4665
795	18106	4640
796	18121	4615
797	18137	4591
798	18153	4566
799	18169	4542
800	18185	4517
801	18200	4493
802	18213	4468
803	18227	4443
804	18242	4418
805	18257	4394
806	18272	4369
807	18286	4345
808	18302	4321
809	18319	4297
810	18335	4272
811	18350	4248
812	18364	4224
813	18377	4199
814	18392	4174
815	18407	4150
816	18421	4126
817	18436	4102
818	18451	4077
819	18466	4053
820	18484	4030
821	18502	4006
822	18522	3983
823	18544	3960
824	18563	3937
825	18578	3913
826	18590	3888
827	18605	3864
828	18620	3840
829	18635	3816
830	18650	3793
831	18665	3768
832	18680	3745
833	18697	3721
834	18713	3697
835	18730	3674
836	18745	3650
837	18762	3627
838	18776	3603
839	18789	3579
840	18806	3555
841	18820	3531
842	18835	3507
843	18850	3484
844	18866	3460
845	18881	3437
846	18896	3413
847	18910	3389
848	18925	3366
849	18938	3342
850	18956	3319
851	18970	3295
852	18985	3271
853	19000	3248
854	19015	3224
855	19031	3201
856	19047	3178
857	19062	3154
858	19077	3131
859	19092	3108
860	19108	3084
861	19122	3061
862	19136	3037
863	19150	3014
864	19165	2991
865	19180	2967
866	19195	2944
867	19209	2921
868	19224	2898
869	19240	2874
870	19255	2851
871	19271	2828
872	19286	2805
873	19299	2782
874	19315	2759
875	19330	2736
876	19345	2713
877	19363	2690
878	19378	2667
879	19394	2644
880	19410	2621
881	19425	2598
882	19439	2575
883	19455	2552
884	19471	2530
885	19487	2507
886	19502	2484
887	19517	2461
888	19531	2438
889	19547	2415
890	19563	2393
891	19578	2370
892	19593	2347
893	19609	2325
894	19627	2302
895	19642	2279
896	19656	2257
897	19673	2234
898	19688	2211
899	19704	2189
900	19719	2166
901	19734	2144
902	19750	2121
903	19768	2099
904	19784	2076
905	19799	2054
906	19811	2031
907	19827	2008
908	19842	1986
909	19857	1963
910	19872	1941
911	19886	1918
912	19902	1896
913	19918	1874
914	19933	1851
915	19949	1829
916	19961	1806
917	19977	1784
918	19992	1762
919	20007	1739
920	20021	1717
921	20036	1695
922	20051	1672
923	20070	1650
924	20085	1628
925	20101	1606
926	20117	1584
927	20133	1562
928	20147	1539
929	20164	1517
930	20183	1495
931	20197	1473
932	20212	1451
933	20225	1429
934	20240	1407
935	20255	1384
936	20270	1362
937	20285	1340
938	20300	1318
939	20317	1296
940	20332	1274
941	20348	1252
942	20367	1231
943	20385	1209
944	20405	1187
945	20427	1166
946	20440	1143
947	20455	1122
948	20471	1100
949	20487	1078
950	20502	1056
951	20517	1034
952	20532	1012
953	20546	990
954	20564	969
955	20581	947
956	20597	925
957	20614	903
958	20629	881
959	20644	860
960	20661	838
961	20677	816
962	20692	795
963	20710	773
964	20725	751
965	20742	730
966	20755	708
967	20769	686
968	20784	664
969	20800	643
970	20815	621
971	20830	600
972	20845	578
973	20861	556
974	20876	535
975	20891	513
976	20908	492
977	20923	470
978	20939	449
979	20952	427
980	20973	406
981	20989	384
982	21003	363
983	21017	341
984	21032	320
985	21047	298
986	21062	277
987	21077	255
988	21094	234
989	21112	213
990	21127	191
991	21142	170
992	21157	149
993	21171	127
994	21186	106
995	21201	85
996	21214	63
997	21228	42
998	21243	21
999	21256	0
